channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-30143.361406727006,-6970.2573979207755,-58200.8356691403,-57981.74386998938,-17346.451264196785,-32622.907474387586,-19309.135593072842,-28341.252010017874,1507434602.6640482,go
-30141.64032240395,-6904.878545389002,-58172.046622281865,-57940.50490146934,-17243.70029493574,-32600.622785165644,-19301.670110424773,-28218.25036028032,1507434602.6642072,go
-30142.132060781965,-6881.655082899939,-58169.94555830307,-57936.43688397847,-17216.3641114669,-32609.78700039232,-19300.664281924284,-28206.493342696827,1507434602.664365,go
-30126.307025707607,-6940.775446984226,-58194.26425627044,-57972.534951273796,-17327.832261065516,-32614.816142894764,-19286.15799977279,-28321.291902219287,1507434602.664572,go
-30136.72293862378,-6971.352633399086,-58202.91438137465,-57984.224913623926,-17353.112084044467,-32613.67620392754,-19297.780906889548,-28341.02849257332,1507434602.6647308,go
-30153.263229520708,-6924.279859576209,-58185.50237244396,-57957.492227255374,-17269.069524892515,-32611.68689867102,-19311.951912874214,-28253.49906128634,1507434602.6648908,go
-30143.87549684948,-6872.915550817914,-58166.41398267913,-57930.80424437574,-17208.518649163085,-32604.4449334675,-19313.42712800826,-28197.77616235926,1507434602.665049,go
-30129.50332516472,-6921.552946752661,-58189.726852146014,-57960.84498892367,-17309.459127123253,-32616.201951050993,-19303.34649125892,-28313.491143404382,1507434602.6652539,go
-30129.39156644244,-6964.781220529226,-58197.773480149925,-57977.69820424297,-17359.035296325124,-32624.36033777718,-19297.780906889548,-28369.929298154035,1507434602.6654139,go
-30144.92602883888,-6932.862929447047,-58185.07768929931,-57961.5825964907,-17282.167647143324,-32626.103773844694,-19308.688558183738,-28282.69043954497,1507434602.6655722,go
-30149.619895174492,-6883.756146878737,-58170.45964842554,-57938.47089272391,-17216.386463211355,-32624.762669177377,-19318.880953655356,-28211.72365089937,1507434602.665731,go
-30125.122383251477,-6912.969876881823,-58183.08838404279,-57953.1783405755,-17289.99075770268,-32620.09115458622,-19294.606959176894,-28285.216186668422,1507434602.665935,go
-30110.9066737779,-6955.505246580273,-58192.02908182491,-57967.75167796036,-17354.475540456242,-32608.53530270282,-19271.71877285466,-28351.779681656324,1507434602.666094,go
-30116.874589547468,-6919.250717073765,-58170.2808344699,-57942.069523581216,-17285.31924311152,-32598.812293864765,-19281.553540414996,-28273.749741762847,1507434602.666253,go
-30123.423650672874,-6863.3043007021315,-58149.828988293295,-57914.04043603426,-17206.752861351117,-32596.331250230225,-19299.569046445973,-28184.81215057518,1507434602.666411,go
-30101.67540331786,-6873.206123495833,-58154.12052322871,-57922.757616371826,-17257.916004409315,-32591.100942027682,-19286.29211023952,-28238.43398552346,1507434602.666608,go
-30093.628775313948,-6938.987307427801,-58178.81920085182,-57956.93343364399,-17352.486235199718,-32599.818122365254,-19272.59049088842,-28339.19564952799,1507434602.6667678,go
-30096.869778259967,-6917.574336239617,-58167.64332862417,-57939.32025901321,-17301.61366481944,-32594.230186251425,-19280.793581103513,-28281.684611044482,1507434602.6669261,go
-30089.38194386744,-6843.2324341812655,-58136.261479408924,-57894.236790446856,-17200.31555894799,-32572.77251157433,-19276.747915357104,-28170.775255057248,1507434602.667084,go
-30072.394618081405,-6835.1634544329,-58125.286772881365,-57891.30871192321,-17217.30288473402,-32558.422691634023,-19263.225109961644,-28187.87433956556,1507434602.667289,go
-30065.80085346709,-6908.611286713039,-58158.59087211977,-57934.06759906621,-17330.603877377973,-32570.649095851077,-19260.073513993444,-28312.574721881716,1507434602.667447,go
-30080.24008038522,-6912.165214081432,-58160.1778459761,-57935.16283454452,-17309.928513756815,-32576.035866264807,-19275.38445894533,-28288.390134381072,1507434602.667605,go
-30092.310022391084,-6855.3247279315865,-58143.61520333472,-57904.56329638521,-17215.246524244132,-32571.006723762363,-19281.754706115094,-28179.62654586155,1507434602.667763,go
-30075.076827416044,-6826.423922350875,-58138.02726722089,-57891.75574681232,-17204.18241073876,-32564.368255659138,-19273.037525777523,-28172.33987716912,1507434602.667967,go
-30060.57054526455,-6888.584123681084,-58163.01651752192,-57931.45244496494,-17317.550458616075,-32573.01838076334,-19262.643964605806,-28302.382326410097,1507434602.6681259,go
-30069.175966879844,-6912.925173392913,-58157.62974710819,-57932.86060486563,-17307.96156024475,-32573.912450541553,-19259.648830848793,-28291.07234371571,1507434602.668284,go
-30079.100141418,-6865.762992592215,-58132.059351451324,-57899.2659329493,-17210.664416630796,-32570.224412706426,-19269.30478445349,-28184.20865347489,1507434602.6684449,go
-30068.48306280173,-6828.480282840763,-58116.21196463251,-57878.79173502824,-17175.21454992468,-32556.366331144138,-19258.79946455949,-28150.18929841391,1507434602.66865,go
-30055.317885317552,-6883.912609089924,-58139.10015095474,-57910.531212154776,-17278.099629652457,-32552.49947935337,-19235.397188114785,-28258.751721233337,1507434602.66881,go
-30061.106987131476,-6917.127301350511,-58145.425694635596,-57923.741093127865,-17307.223952677723,-32556.67925556651,-19244.80727253047,-28285.953794235444,1507434602.668969,go
-30076.462635572272,-6880.358681721531,-58131.83583400677,-57902.68574985096,-17221.84028885845,-32563.407130647556,-19272.165807743768,-28204.34757522912,1507434602.669128,go
-30077.49081581722,-6841.287832413654,-58119.16239490061,-57881.94333099644,-17170.699497544705,-32560.85903177965,-19270.310612953977,-28143.32731286613,1507434602.6692858,go
-30063.498623788193,-6889.835821370581,-58140.597717833254,-57910.88884006606,-17266.543777769064,-32566.87165103813,-19257.860691292368,-28255.153090376032,1507434602.669445,go
-30076.41793208336,-6944.642298774994,-58165.29639545637,-57940.102570069146,-17327.005246520668,-32580.237994222403,-19272.679897866237,-28322.476544675417,1507434602.669604,go
-30093.47231310276,-6917.127301350511,-58150.00780224893,-57914.82274709019,-17253.89269040736,-32571.29729644028,-19288.929616085246,-28228.509810985306,1507434602.6697621,go
-30103.62000508547,-6873.541399662662,-58133.91454624111,-57892.69452007944,-17184.177599451257,-32566.24580219338,-19293.981110332144,-28155.754882783283,1507434602.669919,go
-30094.09816194751,-6915.495624005273,-58159.28377619789,-57922.04236054926,-17263.436885289775,-32573.130139485616,-19285.06276429448,-28248.224049594886,1507434602.670079,go
-30102.278900418154,-6984.897790539002,-58188.765727134436,-57958.72157320042,-17346.853595596982,-32589.82689259373,-19293.66818590977,-28343.397777485585,1507434602.670238,go
-30121.68021460536,-6972.1349444550215,-58175.86877058372,-57946.539872472276,-17283.95578669975,-32593.425523451035,-19308.219171550176,-28272.96743070691,1507434602.6703959,go
-30131.559685654604,-6925.822129943625,-58155.70749708504,-57917.97434305839,-17195.465230401187,-32586.697648369987,-19309.269703539576,-28168.13774921152,1507434602.6705542,go
-30130.419746687385,-6952.197188400887,-58173.00774729344,-57940.61666019162,-17251.65751596183,-32595.7948083633,-19307.92859887226,-28241.674988469484,1507434602.6707132,go
-30128.586903642048,-7021.599354934616,-58200.433337740105,-57975.887712942094,-17351.078075299036,-32596.152436274584,-19299.43493597924,-28340.17912628402,1507434602.67087,go
-30136.700586879324,-7005.461395437885,-58185.189448021585,-57951.971346374914,-17305.45816486575,-32576.706418598467,-19309.71673842868,-28275.671991786003,1507434602.671028,go
-30143.137889282454,-6945.826941231125,-58149.91839527112,-57907.245505719846,-17200.472021159178,-32562.49070912489,-19297.736203400636,-28165.008504987778,1507434602.671186,go
-30141.8638398485,-6951.548987811683,-58150.76776156042,-57909.30186620973,-17217.593457411942,-32559.02618873432,-19293.10939229839,-28192.098819267612,1507434602.671344,go
-30142.24381950424,-7032.0599713397,-58184.496543943475,-57953.64772720906,-17334.515432657652,-32573.19719471898,-19293.176447531754,-28322.834172586703,1507434602.6715012,go
-30163.00859010322,-7049.53903550375,-58192.811392880845,-57964.354212803155,-17323.361912174452,-32594.677221140533,-19317.62925596586,-28316.061594016744,1507434602.671659,go
-30184.332154313586,-7003.8297180926465,-58177.07576478431,-57940.70606716944,-17234.111396564414,-32598.432314209025,-19335.063616641,-28219.904389370015,1507434602.671817,go
-30195.329212585595,-7007.160128016488,-58172.24778798196,-57939.94610785796,-17215.626503899875,-32596.35360197468,-19317.62925596586,-28201.777124616758,1507434602.671975,go
-30203.174674889407,-7102.467966373917,-58208.32350353283,-57993.97027420644,-17334.85070882448,-32620.94052087552,-19319.68561645575,-28346.23644903141,1507434602.672132,go
-30223.961797232845,-7139.907138336556,-58215.1407855917,-58009.504736602874,-17337.041179781103,-32630.21649482447,-19323.038378124045,-28348.22575428793,1507434602.672291,go
-30247.252314955273,-7098.5117076053275,-58204.92603837563,-57984.58254153521,-17254.36207704092,-32630.015329124373,-19350.106340659422,-28245.094805371144,1507434602.672449,go
-30243.072538742133,-7065.92286418949,-58184.96593057703,-57962.47666626891,-17219.046320801535,-32620.6499481976,-19351.290983115552,-28208.035613064247,1507434602.672606,go
-30231.002596736267,-7129.312411464741,-58214.33612279131,-57999.871134742636,-17323.42896740782,-32628.07072735676,-19338.639895753848,-28334.501783192372,1507434602.6727638,go
-30238.132803217508,-7167.668004950047,-58225.22142234104,-58014.265658171855,-17360.1975870368,-32632.004634380894,-19349.39108483685,-28367.00121963039,1507434602.6729221,go
-30257.75763484927,-7124.372675940118,-58208.16704132164,-57984.87311421313,-17277.76435348563,-32625.120297088662,-19360.87988148688,-28263.55734629123,1507434603.128681,go
-30268.24060299881,-7086.039434199266,-58197.8852388722,-57966.99171864888,-17226.064768560504,-32621.968701120462,-19366.959555978723,-28203.34174672863,1507434603.129015,go
-30258.919925560946,-7139.013068558344,-58221.198108339086,-57998.597085308684,-17326.66997035384,-32625.65673895559,-19364.322050132996,-28310.808934069748,1507434603.1292858,go
-30249.643951611994,-7179.84970567819,-58233.31275383387,-58016.12085296165,-17379.86712215747,-32631.691709958523,-19367.943032734758,-28375.070199378755,1507434603.12955,go
-30265.84896634209,-7151.753562897869,-58223.88031767373,-58001.14518417659,-17312.29779866908,-32637.99490189492,-19386.60673935494,-28293.665146072526,1507434603.129823,go
-30283.350382250595,-7112.392140912073,-58216.1913175811,-57980.156896133056,-17250.22700431669,-32637.525515261357,-19401.068318017522,-28218.473877724875,1507434603.130084,go
-30272.688600145415,-7139.683620892003,-58231.94929742209,-57997.94888471948,-17323.607781363462,-32636.27381757186,-19396.9779487822,-28305.064535744732,1507434603.130343,go
-30273.113283290066,-7206.113005413175,-58248.78016099694,-58028.459015900975,-17397.502648532707,-32643.001692652906,-19388.819562056015,-28395.678507766548,1507434603.1306,go
-30283.7974171397,-7184.6776824805365,-58241.471140560054,-58015.27148667235,-17340.639810638408,-32643.024044397363,-19400.151896494855,-28324.84582958768,1507434603.1308641,go
-30289.13948406452,-7121.869280561124,-58219.23115482702,-57987.15299214757,-17255.70318170824,-32639.17954435105,-19399.771916839116,-28235.036520366255,1507434603.1311219,go
-30281.159911293977,-7138.633088902604,-58228.30596307587,-58003.87209700014,-17296.13748742789,-32639.715986217976,-19384.259806187132,-28285.998497724355,1507434603.1313899,go
-30281.785760138722,-7217.758264274391,-58252.55760580988,-58038.69611486151,-17388.74076470623,-32646.51091653239,-19377.375468894897,-28382.15570237109,1507434603.131615,go
-30293.65453644449,-7214.472557839461,-58256.67032678966,-58040.551309651295,-17364.377363249943,-32656.83742247074,-19407.393861698372,-28344.738882152902,1507434603.131843,go
-30285.540853207214,-7144.332783738707,-58227.68011423113,-58001.1898876655,-17269.94124292627,-32638.777212950852,-19408.287931476585,-28233.024863365277,1507434603.132067,go
-30277.158949036475,-7136.442617945983,-58221.22046008355,-58000.631094054115,-17276.46795230722,-32637.838439683732,-19395.03334701459,-28262.68562825747,1507434603.132288,go
-30274.18616702392,-7211.3880171046285,-58252.98228895453,-58044.954603308994,-17382.370517536463,-32651.65181775711,-19386.047945743554,-28387.631879762637,1507434603.132511,go
-30280.042324071208,-7220.708694542492,-58257.49734133451,-58051.660126645584,-17366.2996132731,-32657.239753870937,-19403.594065140973,-28361.726207938937,1507434603.132738,go
-30268.911155332466,-7154.949862354978,-58243.75101849449,-58031.14122523561,-17283.307586110543,-32662.872393473674,-19422.011902572143,-28274.420294096508,1507434603.132962,go
-30247.47583239983,-7120.1705479825205,-58244.37686733924,-58029.643658357105,-17273.785742972585,-32665.7110650195,-19420.670797904826,-28267.670067271003,1507434603.1331909,go
-30258.070559271644,-7191.897295939601,-58255.798608755904,-58059.147961038114,-17376.670822700362,-32672.058960444807,-19406.924475064814,-28390.33644084173,1507434603.1334138,go
-30292.626356199547,-7227.570680090271,-58253.988117455025,-58061.874873861656,-17377.408430267387,-32681.26787916039,-19407.907951820845,-28392.281042609342,1507434603.133641,go
-30301.85762665959,-7181.593141745704,-58235.9949631685,-58031.252983957886,-17294.595217060472,-32677.155158180616,-19421.22959151621,-28290.40179138205,1507434603.133866,go
-30285.965536351865,-7138.387219713595,-58221.17575659463,-58008.63301856912,-17254.585594485474,-32668.6614952876,-19420.402576971363,-28250.63803799606,1507434603.134088,go
-30277.248356014297,-7199.005150676388,-58249.71893426406,-58042.942946308016,-17363.148017304902,-32677.825710514277,-19413.629998401404,-28378.735885469425,1507434603.134311,go
-30277.203652525386,-7229.71644755798,-58262.459428603586,-58055.102295291705,-17401.838886957037,-32690.588556598253,-19427.242210774686,-28425.76395580339,1507434603.134531,go
-30284.42326598445,-7176.385185287618,-58250.72476276455,-58031.07417000225,-17329.866269810947,-32690.23092868697,-19450.778597686123,-28331.75251862437,1507434603.134728,go
-30284.08798981762,-7125.26674571833,-58233.80449221188,-58000.51933533184,-17271.57292027151,-32673.221251156483,-19442.821376660035,-28260.69632300095,1507434603.134924,go
-30257.08708251561,-7163.46587699245,-58245.27093711746,-58019.786539052315,-17351.748627632693,-32671.366056366693,-19413.69705363477,-28364.27430680684,1507434603.13512,go
-30238.46807938434,-7205.017769934866,-58257.564396567876,-58038.316135205765,-17409.594942283027,-32676.708123291508,-19404.197562241265,-28423.752298802414,1507434603.13532,go
-30245.017140509743,-7163.555283970271,-58245.874434217745,-58011.42698662603,-17347.501796186185,-32673.95885872351,-19413.071204790023,-28350.483280477918,1507434603.135516,go
